USERNAME, PASSWORD, FIRST NAME, LAST NAME, CPR, ADDRESS, PHONE NUMBER, EMAIL
minnie_c,minnie12,Minnie,Chancellor,080795-2634,Angie Drive 1442,71683498,minnie@gmail.com
philip_r,philip12,Philip,Ravn,090794-4326,Skolevej 1,91234561,philip@gmail.com
shekhar_s,shekhar12,Shekhar,Sedhain,040495-4287,Bakkelunden 51,23103610,shekhar@gmail.com
hardy_m,hard12,Hardy,Manny,121298-2345,Lyngvej 123,1234567,hardy@gmail.com
gerud_p,gerud12,Gerud,Pique,230592-3486,Tværgyden 67,81987654,gerud@gmail.com
lionel_m,lionel12,Lionel,Messi,300680-6547,Tårup Byvej 65,71654389,lionel@gmail.com
cristiano_r,cristiano12,Cristiano,Ronaldo,050578-3423,Strandalléen 67,98765432,ronaldo@gmail.com
andres_i,andres12,Andres,Iniesta,090976-9876,Espegyden 64,91765342,andres@gmail.com
paul_p,paul12,Paul,Pogba,080792-4563,Lodskovvej 55,91785642,paul@gmail.com
mushfiq,mushfiq12,Mushfiqur,Rahim,070693-4562,Ådalen 17,91432145,mushfiq@gmail.com
