USERNAME, PASSWORD, FIRST NAME, LAST NAME, CPR, ADDRESS, PHONE NUMBER, EMAIL
gerud_p,gerud12,Gerud,Pique,2305923486,Tværgyden 67,81987654,gerud@gmail.com
lionel_m,lionel12,Lionel,Messi,3006806547,Tårup Byvej 65,71654389,lionel@gmail.com
cristiano_r,cristiano12,Cristiano,Ronaldo,0505783423,Strandalléen 67,98765432,ronaldo@gmail.com
minnie_c,minnie12,Minnie,Chancellor,0807952634,Angie Drive 1442,71683498,minnie@gmail.com
philip_r,philip12,Philip,Ravn,0907944326,Skolevej 1,91234561,philip@gmail.com
shekhar_s,shekhar12,Shekhar,Sedhain,0404954287,Bakkelunden 51,23103610,shekhar@gmail.com
hardy_m,hard12,Hardy,Manny,1212982345,Lyngvej 123,1234567,hardy@gmail.com
andres_i,andres12,Andres,Iniesta,0909769876,Espegyden 64,91765342,andres@gmail.com
test,test1,Radu,Dellpogba,1234567890,Lygten 40,12345678,pogba@dell.com
mushfiq,mushfiq12,Mushfiqur,Rahim,0706934562,Ådalen 17,91432145,mushfiq@gmail.com
